step	nodes	edges	singletons	connected	avg_degree	degree_distribution	diameter	avg_clustering_coefficient	cc_count	avg_cc_size	max_cc_size	max_cc_id	cc_std_dev	com_count	avg_com_size	max_com_size	max_com_id	min_com_size	min_com_id	std_com_dist	modularity	com_modularity	iterations	iteration_modularities
67	1376	2821	281	1095	4.100290775299072	281,190,167,112,113,129,94,74,49,18,20,40,13,20,7,7,11,6,3,5,6,3,6,0,2,	17.0	0.5151163660524686	452	3.0442479	55	2	3.0442479	483	2.8488612	57	2556	1	20749	4.404347	0.9541370797159718	0.9085222732579536	1	0.9085222732579536,
68	1382	2827	282	1100	4.091172218322754	282,186,184,104,121,106,102,79,44,28,15,43,7,25,6,21,3,0,7,2,2,9,5,1,	18.0	0.5220683312784072	459	3.0108933	65	14	3.0108933	486	2.8436215	58	2556	1	20808	4.3775706	0.9527622179826631	0.9138064790115116	1	0.9138064790115116,
69	1387	2861	283	1104	4.125450611114502	283,181,176,110,119,117,99,82,47,24,23,27,20,20,9,20,5,2,3,2,5,8,4,1,	13.0	0.5176281920235909	451	3.075388	56	2	3.075388	484	2.8657024	58	2556	1	21190	4.4069095	0.9550093392794258	0.906601219426826	1	0.906601219426826,
70	1388	2881	284	1104	4.151296615600586	284,181,168,110,121,128,89,76,59,28,16,27,14,27,9,21,3,4,1,7,4,7,2,2,	13.0	0.5189400137110192	452	3.0707965	57	2	3.0707965	486	2.855967	58	2556	1	21529	4.390223	0.9551159308837487	0.9051652130603244	1	0.9051652130603244,
71	1395	2891	279	1116	4.144803047180176	279,190,163,112,112,139,93,90,38,28,25,29,9,32,9,19,3,2,1,10,4,7,1,	13.0	0.5220534408055635	455	3.0659342	57	2	3.0659342	484	2.8822315	59	2556	1	21809	4.495751	0.9586231246891442	0.9161506367463248	1	0.9161506367463248,
72	1402	2913	279	1123	4.155492305755615	279,193,159,108,120,141,92,89,42,26,28,28,13,21,17,18,3,2,1,11,5,5,1,	12.0	0.5233483435536677	457	3.0678337	58	2	3.0678337	489	2.8670757	59	2556	1	21994	4.4326377	0.9588453054827569	0.9096576788191824	1	0.9096576788191824,
73	1404	2924	282	1122	4.1652421951293945	282,196,151,117,121,130,102,82,39,33,17,39,8,20,11,26,6,0,1,11,7,2,3,	26.0	0.5182112960969044	456	3.0789473	82	14	3.0789473	488	2.8770492	59	2556	1	22540	4.4441833	0.9506897022799163	0.9095258752977843	1	0.9095258752977843,
74	1404	2911	277	1127	4.146723747253418	277,193,152,128,133,119,96,82,46,28,19,39,10,13,15,25,6,1,0,10,8,1,2,1,	29.0	0.5178641197969258	448	3.1339285	77	13	3.1339285	478	2.9372385	61	2556	1	22604	4.5677104	0.9490390575980103	0.918192652492276	1	0.918192652492276,
75	1412	2924	277	1135	4.141643047332764	277,192,161,129,127,125,97,78,49,32,19,33,9,18,16,21,3,1,4,1,12,3,3,1,1,	29.0	0.5178800788600333	445	3.1730337	81	2	3.1730337	488	2.8934426	62	2556	1	22819	4.603913	0.9398627519598135	0.9068684957360276	1	0.9068684957360276,
76	1418	2964	270	1148	4.180535793304443	270,199,157,127,121,147,95,78,52,27,19,29,11,12,22,22,3,4,0,1,4,9,6,3,	20.0	0.5187682867932053	441	3.2154195	77	2	3.2154195	482	2.9419086	64	2556	1	23176	4.6221857	0.943037092887933	0.9034449152310849	1	0.9034449152310849,
