step	nodes	edges	singletons	connected	avg_degree	degree_distribution	diameter	avg_clustering_coefficient	cc_count	avg_cc_size	max_cc_size	max_cc_id	cc_std_dev	com_count	avg_com_size	max_com_size	max_com_id	min_com_size	min_com_id	std_com_dist	size_distribution	modularity	com_modularity	iterations	iteration_modularities	weighted_com_modularity	speed_avg	speed_std	speed_avg_std	avgSpeed_avg	avgSpeed_std	avgSpeed_avg_std
43	25	171	0	25	13.680000305175781	0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,1,3,7,	3.0	0.8187777581895229	1	25.0	25	0	25.0	2	12.5	24	1	1	25	16.263456	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	-0.001094353818268834	1	-0.001094353818268834,	-0.25608362179335514	19.035625	0.5718727	0.31043208	0.0	0.0	0.0
44	26	178	0	26	13.692307472229004	0,0,0,0,0,0,0,0,2,2,0,3,2,3,1,3,3,7,	3.0	0.8100581796283154	1	26.0	26	0	26.0	2	13.0	25	1	1	26	16.970562	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	-0.001009973488195759	1	-0.001009973488195759,	-0.3180798627532574	19.022	0.5911416	0.33303216	0.0	0.0	0.0
45	26	176	0	26	13.538461685180664	0,0,0,0,0,0,0,0,2,2,1,3,1,3,1,3,5,5,	3.0	0.8078876314736043	1	26.0	26	0	26.0	1	26.0	26	1	26	1	0.0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.0	1	0.0,	1.7373197169767707E-7	18.524616	0.0	0.6011671	0.0	0.0	0.0
46	27	186	0	27	13.777777671813965	0,0,0,0,0,0,0,0,2,0,4,1,2,3,2,1,6,5,1,	4.0	0.8078126787277113	1	27.0	27	0	27.0	2	13.5	26	1	1	27	17.67767	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	-9.249624234015652E-4	1	-9.249624234015652E-4,	-0.10690923079186931	18.946346	0.6981325	0.5961905	0.0	0.0	0.0
47	28	195	0	28	13.928571701049805	0,0,0,0,0,0,0,0,1,2,2,3,0,4,2,2,4,7,1,	4.0	0.8062818309141838	1	28.0	28	0	28.0	2	14.0	27	1	1	28	18.384777	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	-0.0010650887573965262	1	-0.0010650887573965262,	-0.3256078180316382	18.850925	0.83307666	0.7424298	0.0	0.0	0.0
48	28	196	0	28	14.0	0,0,0,0,0,0,0,0,1,2,1,4,0,4,2,2,4,6,2,	4.0	0.8089906825200942	1	28.0	28	0	28.0	1	28.0	28	1	28	1	0.0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.0	1	0.0,	1.3329559411801029E-7	18.147142	0.0	1.6652635	0.0	0.0	0.0
49	28	196	0	28	14.0	0,0,0,0,0,0,0,0,1,2,1,3,1,4,2,2,4,7,1,	4.0	0.8091535915065327	1	28.0	28	0	28.0	1	28.0	28	1	28	1	0.0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.0	1	0.0,	1.2148970618408583E-7	18.127142	0.0	1.719696	0.0	0.0	0.0
50	29	207	0	29	14.275861740112305	0,0,0,0,0,0,0,0,2,0,2,1,3,3,3,2,5,5,2,1,	4.0	0.8100436525385816	1	29.0	29	0	29.0	2	14.5	28	1	1	29	19.091883	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	-7.468085602930774E-4	1	-7.468085602930774E-4,	-0.31302232750168113	18.745714	0.98186916	0.8372715	0.0	0.0	0.0
51	30	218	0	30	14.533333778381348	0,0,0,0,0,0,0,0,1,2,0,2,1,6,1,3,5,6,1,1,1,	4.0	0.8141706232650504	1	30.0	30	0	30.0	2	15.0	29	1	1	30	19.79899	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	-8.522009931825059E-4	1	-8.522009931825059E-4,	-0.0010684409014276586	18.683966	1.0691948	1.009268	0.0	0.0	0.0
52	30	219	0	30	14.600000381469727	0,0,0,0,0,0,0,0,1,2,0,2,1,6,1,3,4,6,2,1,1,	4.0	0.8141651766419568	1	30.0	30	0	30.0	1	30.0	30	1	30	1	0.0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.0	1	0.0,	3.7633433458417187E-7	17.829666	0.0	2.0562294	0.0	0.0	0.0
53	30	221	0	30	14.733333587646484	0,0,0,0,0,0,0,0,1,2,0,2,1,5,1,4,3,6,3,1,1,	4.0	0.8134002552888001	1	30.0	30	0	30.0	1	30.0	30	1	30	1	0.0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.0	1	0.0,	-2.0569178182938685E-7	17.714	0.0	2.0974724	0.0	0.0	0.0
54	31	232	0	31	14.967741966247559	0,0,0,0,0,0,0,0,2,0,2,0,2,2,5,2,5,6,2,1,1,1,	4.0	0.8124563669405378	1	31.0	31	0	31.0	2	15.5	30	1	1	31	20.506096	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	-5.945303210465047E-4	1	-5.945303210465047E-4,	-0.362062784893446	18.551666	1.256293	1.0984827	0.0	0.0	0.0
55	32	243	0	32	15.1875	0,0,0,0,0,0,0,0,2,1,0,2,0,2,4,5,4,6,2,2,1,0,1,	4.0	0.8122246889032881	1	32.0	32	0	32.0	2	16.0	31	1	1	32	21.213203	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	-5.419228098698659E-4	1	-5.419228098698659E-4,	-7.536135974646196E-4	18.55613	1.2499825	1.1416171	0.0	0.0	0.0
56	32	246	0	32	15.375	0,0,0,0,0,0,0,0,2,1,0,2,0,2,2,7,3,7,2,0,2,1,1,	4.0	0.8160763559733183	1	32.0	32	0	32.0	1	32.0	32	1	32	1	0.0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	0.0	1	0.0,	-2.90945147307653E-7	17.502188	0.0	2.4526033	0.0	0.0	0.0
57	33	256	0	33	15.515151977539062	0,0,0,0,0,0,0,1,1,1,1,0,2,1,2,4,6,7,2,1,2,1,1,	4.0	0.8118474248645935	1	33.0	33	0	33.0	2	16.5	32	1	1	33	21.920311	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	-4.8828125E-4	1	-4.8828125E-4,	-0.1899889037358788	18.482813	1.3536677	1.1926705	0.0	0.0	0.0
58	34	266	0	34	15.647058486938477	0,0,0,1,0,0,0,0,0,2,1,1,0,2,2,4,5,8,2,0,4,0,2,	4.0	0.8217113475468059	1	34.0	34	0	34.0	2	17.0	33	1	1	34	22.627417	0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.0	-5.72389620668079E-4	1	-5.72389620668079E-4,	-0.3847617111447401	18.41803	1.4452835	1.2162114	0.0	0.0	0.0
