	step	com_id	com_size	degree	degree	degree	degree	num_stops	num_stops	num_stops	num_stops	x	x	y	y	avg_speed	avg_speed	avg_speed	avg_speed	speed	speed	speed	speed	congested	range	num_stops_count
113	0	113	1	12.0		12	12	0	0.0	0	0	3963.5	3963.5	2963.62	2963.62	-1.0		-1.0	-1.0	55.91		55.91	55.91	0	0.0	0.0
114	0	114	1	21.0		21	21	0	0.0	0	0	3513.5	3513.5	2939.32	2939.32	-1.0		-1.0	-1.0	25.96		25.96	25.96	0	0.0	0.0
115	0	115	1	16.0		16	16	0	0.0	0	0	2433.15	2433.15	3296.5	3296.5	-1.0		-1.0	-1.0	26.59		26.59	26.59	0	0.0	0.0
116	0	116	1	21.0		21	21	1	1.0	1	1	3303.5	3303.5	1891.9	1891.9	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
117	0	117	1	17.0		17	17	0	0.0	0	0	1685.56	1685.56	1986.5	1986.5	-1.0		-1.0	-1.0	60.05		60.05	60.05	0	0.0	0.0
118	0	118	1	29.0		29	29	0	0.0	0	0	1606.88	1606.88	2863.5	2863.5	-1.0		-1.0	-1.0	15.67		15.67	15.67	0	0.0	0.0
119	0	119	1	17.0		17	17	1	1.0	1	1	2866.5	2866.5	2519.25	2519.25	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
120	0	120	1	12.0		12	12	0	0.0	0	0	653.5	653.5	2655.57	2655.57	-1.0		-1.0	-1.0	36.92		36.92	36.92	0	0.0	0.0
121	0	121	1	36.0		36	36	0	0.0	0	0	1784.85	1784.85	2853.5	2853.5	-1.0		-1.0	-1.0	11.81		11.81	11.81	0	0.0	0.0
122	0	122	1	22.0		22	22	0	0.0	0	0	1287.89	1287.89	3086.5	3086.5	-1.0		-1.0	-1.0	42.11		42.11	42.11	0	0.0	0.0
123	0	123	1	13.0		13	13	1	1.0	1	1	2212.31	2212.31	666.5	666.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
124	0	124	1	19.0		19	19	0	0.0	0	0	2416.5	2416.5	1591.77	1591.77	-1.0		-1.0	-1.0	11.54		11.54	11.54	0	0.0	0.0
125	0	125	1	5.0		5	5	0	0.0	0	0	1043.59	1043.59	4176.5	4176.5	-1.0		-1.0	-1.0	58.38		58.38	58.38	0	0.0	0.0
126	0	126	1	21.0		21	21	0	0.0	0	0	1093.5	1093.5	3035.57	3035.57	-1.0		-1.0	-1.0	27.51		27.51	27.51	0	0.0	0.0
127	0	127	1	18.0		18	18	1	1.0	1	1	2866.5	2866.5	2503.93	2503.93	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
128	0	128	1	9.0		9	9	1	1.0	1	1	1962.1	1962.1	3956.5	3956.5	-1.0		-1.0	-1.0	0.0		0.0	0.0	1	0.0	0.0
129	0	129	1	16.0		16	16	0	0.0	0	0	3253.21	3253.21	876.5	876.5	-1.0		-1.0	-1.0	23.18		23.18	23.18	0	0.0	0.0
