step	node_id	x	y	degree	neighbors	cc_id	cc_size	com_id	com_score	com_size
0	_h5_4772	14478.43	11611.52	0		139	1	30	1.0	1
0	_h5_4771	10174.94	24867.21	1	_h5_4551,	140	2	345	1.0	2
0	_h5_4551	10204.84	24872.29	1	_h5_4771,	140	2	345	0.95	2
0	_h5_4770	15264.34	13677.99	0		141	1	98	1.0	1
0	_h5_4478	17851.46	24486.88	0		142	1	292	1.0	1
0	_h5_4479	42240.67	25894.58	0		143	1	263	1.0	1
0	_h5_4775	22754.15	21196.07	0		144	1	356	1.0	1
0	_h5_4774	10427.63	24900.59	0		145	1	70	1.0	1
0	_h6_17	11338.49	19563.07	1	_h5_4485,	30	7	173	1.0	2
0	_h5_4485	11299.93	19542.8	2	_h6_17,_h6_98,	30	7	173	0.95	2
0	_h5_4489	17796.43	24578.99	0		146	1	3	1.0	1
0	_h5_4488	13564.48	17505.36	0		147	1	93	1.0	1
0	_h5_4481	18211.29	16494.92	0		148	1	38	1.0	1
0	_h5_4480	20524.5	19123.92	0		149	1	518	1.0	1
0	_h5_4483	26607.23	27585.26	0		150	1	533	1.0	1
0	_h5_4482	19074.29	21196.38	0		151	1	464	1.0	1
0	_h5_4484	42451.26	23068.97	0		152	1	448	1.0	1
0	_h5_4487	24843.2	19799.4	0		153	1	472	1.0	1
0	_h5_4486	35190.71	19961.63	0		154	1	402	1.0	1
0	_h6_102	14554.41	13101.13	1	_h6_128,	155	2	227	1.0	2
0	_h6_128	14566.64	13112.41	1	_h6_102,	155	2	227	0.95	2
0	_h6_103	44329.83	31152.77	2	_h6_122,_h6_142,	156	3	171	0.95	3
0	_h6_122	44311.32	31145.4	2	_h6_103,_h6_142,	156	3	171	1.0	3
0	_h6_142	44318.03	31151.63	2	_h6_103,_h6_122,	156	3	171	0.95	3
0	_h6_100	22049.57	11851.76	0		157	1	264	1.0	1
0	_h5_4508	9904.04	25793.83	0		158	1	290	1.0	1
0	_h5_4509	22848.91	12922.92	0		159	1	537	1.0	1
0	_h5_4500	20269.75	21233.4	0		160	1	443	1.0	1
0	_h5_4501	22569.82	17556.15	0		161	1	270	1.0	1
0	_h5_4502	33246.06	14869.83	0		162	1	50	1.0	1
0	_h5_4503	34324.8	26726.22	1	_h5_4464,	163	2	85	0.95	2
0	_h5_4464	34331.88	26722.97	1	_h5_4503,	163	2	85	1.0	2
0	_h5_4504	21353.0	18941.59	0		164	1	401	1.0	1
0	_h5_4505	36299.09	26923.68	0		165	1	123	1.0	1
0	_h5_4506	13919.66	25357.79	0		166	1	381	1.0	1
0	_h5_4507	14548.96	15149.9	0		167	1	398	1.0	1
0	_h5_4782	38584.16	19182.66	0		168	1	281	1.0	1
0	_h6_104	7030.05	24940.09	2	_h6_119,_h6_131,	169	3	15	1.0	3
0	_h6_119	6972.72	24951.03	2	_h6_104,_h6_131,	169	3	15	0.95	3
0	_h6_131	6967.56	24955.06	2	_h6_104,_h6_119,	169	3	15	0.95	3
0	_h6_105	13304.3	37499.01	0		170	1	361	1.0	1
0	_h6_9	35130.86	12994.8	0		171	1	534	1.0	1
0	_h6_8	5765.86	12142.2	0		172	1	384	1.0	1
0	_h6_1	21938.97	33250.1	0		173	1	185	1.0	1
0	_h6_3	35173.29	19758.4	0		174	1	289	1.0	1
0	_h6_2	17856.87	23595.08	0		175	1	426	1.0	1
0	_h6_5	6854.05	27411.95	1	_h6_55,	176	2	257	1.0	2
0	_h6_55	6786.27	27399.32	1	_h6_5,	176	2	257	0.95	2
0	_h5_4788	30787.65	32159.47	0		177	1	412	1.0	1
0	_h6_7	11741.13	10039.91	0		178	1	458	1.0	1
0	_h6_6	20895.68	12995.13	1	_h6_70,	179	2	217	0.95	2
0	_h6_70	20873.75	12920.14	1	_h6_6,	179	2	217	1.0	2
0	_h5_4531	16126.9	20601.19	0		180	1	158	1.0	1
0	_h5_4789	19279.46	15099.46	0		181	1	259	1.0	1
0	_h5_4530	26073.49	25642.77	0		182	1	118	1.0	1
0	_h5_4862	15584.09	17695.91	0		183	1	102	1.0	1
0	_h5_4603	12018.86	15670.79	0		184	1	304	1.0	1
0	_h5_4602	40192.67	33176.45	0		185	1	31	1.0	1
0	_h5_4601	21843.17	34517.83	1	_h5_4667,	186	2	244	0.95	2
0	_h5_4667	21853.9	34490.68	1	_h5_4601,	186	2	244	1.0	2
0	_h5_4607	27644.23	29115.73	0		187	1	206	1.0	1
0	_h5_4606	22636.07	18778.94	1	_h5_4605,	188	2	333	0.95	2
0	_h5_4605	22629.52	18745.67	1	_h5_4606,	188	2	333	1.0	2
