step	nodes	edges	singletons	connected	avg_degree	degree_distribution	diameter	avg_clustering_coefficient	cc_count	avg_cc_size	max_cc_size	max_cc_id	cc_std_dev	com_count	avg_com_size	max_com_size	max_com_id	min_com_size	min_com_id	std_com_dist	size_distribution	modularity	com_modularity	iterations	iteration_modularities
47	1303	2330	291	1012	3.576362133026123	291,196,145,122,133,114,78,63,31,33,23,23,6,15,8,3,2,7,3,1,5,1,	34.0	0.4981809617102896	464	2.8081896	100	5	2.8081896	441	2.9546485	44	43	1	13720	5.2090597	0,292,63,17,8,9,1,5,8,3,6,6,0,0,2,1,4,4,1,2,1,0,2,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,	0.9536495422645489	0.9294137854814054	1	0.9294137854814054,
48	1305	2361	293	1012	3.6183907985687256	293,192,144,134,113,133,65,66,31,35,23,24,3,15,9,5,2,2,5,3,2,3,3,	22.0	0.4965006835934906	462	2.8246753	75	15	2.8246753	440	2.965909	46	43	1	14206	5.281266	0,293,61,17,8,8,2,5,7,2,9,6,0,0,2,1,1,6,1,3,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,	0.9563493024531619	0.9287761684337885	1	0.9287761684337885,
49	1316	2405	297	1019	3.655015230178833	297,191,153,116,108,138,76,68,37,31,24,21,6,15,7,5,5,6,2,3,2,0,5,	16.0	0.49423510664964965	465	2.8301075	47	2	2.8301075	440	2.990909	47	43	1	14495	5.3730884	0,297,55,18,9,8,2,3,8,4,7,5,2,0,2,1,3,4,0,3,0,0,2,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,	0.961119289767936	0.9341984171921798	1	0.9341984171921798,
50	1321	2442	295	1026	3.6971991062164307	295,196,144,125,94,136,93,68,33,31,25,25,5,17,7,3,7,5,3,0,2,2,5,	25.0	0.48756131963466265	461	2.8655097	76	15	2.8655097	439	3.0091116	47	43	1	14663	5.420653	0,299,53,19,8,6,2,4,8,1,9,5,1,1,1,3,3,3,2,1,0,2,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,	0.957145664762371	0.932531621413685	1	0.932531621413685,
51	1326	2495	290	1036	3.763197660446167	290,204,143,129,97,123,91,76,29,27,33,24,5,14,10,2,7,3,3,5,1,4,3,3,	32.0	0.4840899097187512	460	2.8826087	101	5	2.8826087	433	3.0623558	49	43	1	15122	5.5296583	0,290,56,19,8,6,3,3,9,2,6,6,1,0,2,2,3,2,3,1,0,2,0,2,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.9461356380094874	0.9401070678431015	1	0.9401070678431015,
52	1328	2521	290	1038	3.7966866493225098	290,192,151,125,111,116,90,73,32,27,31,27,7,8,15,7,5,5,2,5,1,5,1,2,	32.0	0.48780276897221453	455	2.9186814	98	5	2.9186814	430	3.088372	50	43	1	15381	5.5831585	0,290,50,21,9,5,4,5,7,2,6,5,2,0,1,4,1,3,3,0,1,1,1,1,2,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.9483706952829857	0.941374170572899	1	0.941374170572899,
53	1332	2551	287	1045	3.8303303718566895	287,193,155,123,106,119,93,70,37,28,25,23,10,16,18,3,4,5,3,2,8,2,2,	28.0	0.49452028083994054	455	2.9274726	90	5	2.9274726	428	3.1121495	50	43	1	15612	5.6578097	0,287,50,20,12,6,4,3,7,2,6,5,2,0,1,3,2,3,4,0,0,0,2,0,0,2,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.9527597036142801	0.9445277914242127	1	0.9445277914242127,
54	1338	2564	291	1047	3.8325860500335693	291,195,151,123,118,108,91,70,37,34,21,27,7,14,15,10,6,1,4,8,5,2,	21.0	0.49312960850032683	460	2.9086957	70	5	2.9086957	433	3.0900693	51	43	1	15975	5.6836934	0,291,51,21,10,7,5,2,7,3,5,4,2,2,2,1,2,3,4,0,0,1,1,0,0,3,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,	0.9574618320146203	0.9426557659030222	1	0.9426557659030222,
55	1339	2595	291	1048	3.8760268688201904	291,185,157,140,102,107,83,77,41,30,25,24,10,17,15,8,5,2,3,6,6,4,1,	20.0	0.5040956666759274	461	2.9045553	50	64	2.9045553	434	3.0852535	52	43	1	16087	5.738297	0,291,51,22,10,8,5,3,5,5,4,4,2,1,2,1,2,2,4,0,1,1,1,0,1,2,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,	0.9602316593716241	0.943144033471809	1	0.943144033471809,
56	1341	2586	293	1048	3.856823205947876	293,187,150,135,116,111,74,77,41,40,15,24,19,8,16,6,9,1,6,5,4,2,2,	20.0	0.5033959625313407	462	2.9025974	50	64	2.9025974	436	3.0756881	52	43	1	16443	5.8207917	0,293,52,24,7,9,5,2,6,4,3,5,2,2,1,1,2,3,3,0,0,1,2,1,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,	0.9607817452413474	0.9421760727194859	1	0.9421760727194859,
